Datum;Kontobezeichnung;Nummer;Beschreibung;Bemerkung;Buchungstext;Kategorie;Kontoart;Aktion;Abgleichen;Nach m. Währung;Von m. Währung;Nach numerisch;Von numerisch;Nach Kurs;Von Kurs
21.10.2016;Abonnements;;Codeschool;;;Girokonto;T;;N;214,00 €;;214,00;;;
;;;;;;Abonnements;S;;N;214,00 €;;214,00;;1,00;
;;;;;;Girokonto;S;;N;;-214,00 €;;-214,00;;1,00
04.09.2018;Abonnements;;Udemy;;;Girokonto;T;;N;29,97 €;;29,97;;;
;;;;;;Abonnements;S;;N;29,97 €;;29,97;;1,00;
;;;;;;Girokonto;S;;N;;-29,97 €;;-29,97;;1,00
11.09.2015;Bücher;;Bücher;;;Girokonto;T;;N;59,90 €;;59,90;;;
;;;;;;Bücher;S;;N;59,90 €;;59,90;;1,00;
;;;;;;Girokonto;S;;N;;-59,90 €;;-59,90;;1,00
19.02.2016;Bücher;;Effektiv Python;;;Girokonto;T;;N;34,99 €;;34,99;;;
;;;;;;Bücher;S;;N;34,99 €;;34,99;;1,00;
;;;;;;Girokonto;S;;N;;-34,99 €;;-34,99;;1,00
10.08.2016;Bücher;;Reiseführer;;;Girokonto;T;;N;19,94 €;;19,94;;;
;;;;;;Bücher;S;;N;19,94 €;;19,94;;1,00;
;;;;;;Girokonto;S;;N;;-19,94 €;;-19,94;;1,00
11.08.2016;Bücher;;Reiseführer;;;Girokonto;T;;N;14,90 €;;14,90;;;
;;;;;;Bücher;S;;N;14,90 €;;14,90;;1,00;
;;;;;;Girokonto;S;;N;;-14,90 €;;-14,90;;1,00
11.08.2016;Bücher;;Flugbuch;;;Girokonto;T;;N;14,95 €;;14,95;;;
;;;;;;Bücher;S;;N;14,95 €;;14,95;;1,00;
;;;;;;Girokonto;S;;N;;-14,95 €;;-14,95;;1,00
18.08.2016;Bücher;;Reiseführer;;;Girokonto;T;;N;14,90 €;;14,90;;;
;;;;;;Bücher;S;;N;14,90 €;;14,90;;1,00;
;;;;;;Girokonto;S;;N;;-14,90 €;;-14,90;;1,00
29.09.2016;Bücher;;Reiseführer;;;Girokonto;T;;N;17,95 €;;17,95;;;
;;;;;;Bücher;S;;N;17,95 €;;17,95;;1,00;
;;;;;;Girokonto;S;;N;;-17,95 €;;-17,95;;1,00
25.10.2016;Bücher;;Reiseführer;;;Girokonto;T;;N;10,98 €;;10,98;;;
;;;;;;Bücher;S;;N;10,98 €;;10,98;;1,00;
;;;;;;Girokonto;S;;N;;-10,98 €;;-10,98;;1,00
15.11.2016;Bücher;;Thalia;;;Girokonto;T;;N;26,99 €;;26,99;;;
;;;;;;Bücher;S;;N;26,99 €;;26,99;;1,00;
;;;;;;Girokonto;S;;N;;-26,99 €;;-26,99;;1,00
12.12.2016;Bücher;;Bib;;;Girokonto;T;;N;30,00 €;;30,00;;;
;;;;;;Bücher;S;;N;30,00 €;;30,00;;1,00;
;;;;;;Girokonto;S;;N;;-30,00 €;;-30,00;;1,00
19.12.2016;Bücher;;Reiseführer;;;Girokonto;T;;N;22,50 €;;22,50;;;
;;;;;;Bücher;S;;N;22,50 €;;22,50;;1,00;
;;;;;;Girokonto;S;;N;;-22,50 €;;-22,50;;1,00
20.12.2016;Bücher;;Thalia;;;Girokonto;T;;N;27,95 €;;27,95;;;
;;;;;;Bücher;S;;N;27,95 €;;27,95;;1,00;
;;;;;;Girokonto;S;;N;;-27,95 €;;-27,95;;1,00
02.02.2017;Bücher;;Amazon;;;Girokonto;T;;N;16,90 €;;16,90;;;
;;;;;;Bücher;S;;N;16,90 €;;16,90;;1,00;
;;;;;;Girokonto;S;;N;;-16,90 €;;-16,90;;1,00
14.02.2017;Bücher;;Bib;;;Girokonto;T;;N;30,00 €;;30,00;;;
;;;;;;Bücher;S;;N;30,00 €;;30,00;;1,00;
;;;;;;Girokonto;S;;N;;-30,00 €;;-30,00;;1,00
02.06.2017;Bücher;;Spanisch Buch;;;Girokonto;T;;N;26,99 €;;26,99;;;
;;;;;;Bücher;S;;N;26,99 €;;26,99;;1,00;
;;;;;;Girokonto;S;;N;;-26,99 €;;-26,99;;1,00
24.10.2017;Bücher;;Reiseführer;;;Girokonto;T;;N;25,80 €;;25,80;;;
;;;;;;Bücher;S;;N;25,80 €;;25,80;;1,00;
;;;;;;Girokonto;S;;N;;-25,80 €;;-25,80;;1,00
08.11.2017;Bücher;;Amazon;;;Girokonto;T;;N;34,00 €;;34,00;;;
;;;;;;Bücher;S;;N;34,00 €;;34,00;;1,00;
;;;;;;Girokonto;S;;N;;-34,00 €;;-34,00;;1,00
21.11.2017;Bücher;;Reisebuchladen;;;Girokonto;T;;N;22,50 €;;22,50;;;
;;;;;;Bücher;S;;N;22,50 €;;22,50;;1,00;
;;;;;;Girokonto;S;;N;;-22,50 €;;-22,50;;1,00
24.04.2018;Bücher;;Finanzbuch;;;Girokonto;T;;N;19,95 €;;19,95;;;
;;;;;;Bücher;S;;N;19,95 €;;19,95;;1,00;
;;;;;;Girokonto;S;;N;;-19,95 €;;-19,95;;1,00
24.04.2018;Bücher;;Finanzbuch;;;Girokonto;T;;N;15,89 €;;15,89;;;
;;;;;;Bücher;S;;N;15,89 €;;15,89;;1,00;
;;;;;;Girokonto;S;;N;;-15,89 €;;-15,89;;1,00
25.05.2018;Bücher;;Java-Buch;;;Mastercard;T;;N;27,99 €;;27,99;;;
;;;;;;Bücher;S;;N;27,99 €;;27,99;;1,00;
;;;;;;Mastercard;S;;N;;-27,99 €;;-27,99;;1,00
25.05.2018;Bücher;;Angular-Buch;;;Mastercard;T;;N;19,99 €;;19,99;;;
;;;;;;Bücher;S;;N;19,99 €;;19,99;;1,00;
;;;;;;Mastercard;S;;N;;-19,99 €;;-19,99;;1,00
11.06.2018;Bücher;;React Buch;;;Girokonto;T;;N;25,99 €;;25,99;;;
;;;;;;Bücher;S;;N;25,99 €;;25,99;;1,00;
;;;;;;Girokonto;S;;N;;-25,99 €;;-25,99;;1,00
19.06.2018;Bücher;;UML-Buch;;;Girokonto;T;;N;39,90 €;;39,90;;;
;;;;;;Bücher;S;;N;39,90 €;;39,90;;1,00;
;;;;;;Girokonto;S;;N;;-39,90 €;;-39,90;;1,00
15.11.2016;Büroartikel;;Amazon;;;Girokonto;T;;N;3,17 €;;3,17;;;
;;;;;;Büroartikel;S;;N;3,17 €;;3,17;;1,00;
;;;;;;Girokonto;S;;N;;-3,17 €;;-3,17;;1,00
11.09.2017;Büroartikel;;Schreibheft;;;Bargeld;T;;N;0,80 €;;0,80;;;
;;;;;;Büroartikel;S;;N;0,80 €;;0,80;;1,00;
;;;;;;Bargeld;S;;N;;-0,80 €;;-0,80;;1,00
11.12.2017;Büroartikel;;Karstadt;;;Girokonto;T;;N;12,50 €;;12,50;;;
;;;;;;Büroartikel;S;;N;12,50 €;;12,50;;1,00;
;;;;;;Girokonto;S;;N;;-12,50 €;;-12,50;;1,00
27.03.2017;Sprachkurse;;Spanisch Kurs A1.1;;;Girokonto;T;;N;160,00 €;;160,00;;;
